kind,source_file,source_line,match_text,target_day,target_page,target_file,anchor_present,decision,notes,context
concrete,content/appendix/06-day-7.qmd,169,Day 7 page 34,7,34,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 34](../days/day-07/07-major-activity.qmd#sec-page34).)*
concrete,content/appendix/06-day-7.qmd,183,Day 7 page 35,7,35,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 35](../days/day-07/07-major-activity.qmd#sec-page35).)*
concrete,content/appendix/06-day-7.qmd,193,Day 7 page 35,7,35,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 35](../days/day-07/07-major-activity.qmd#sec-page35).)*
concrete,content/appendix/07-day-9.qmd,13,Day 9 page 7,9,7,content/days/day-09/03-activity-9c-and-organisation-charts.qmd,Y,,,*(Return to [Day 9 page 7](../days/day-09/03-activity-9c-and-organisation-charts.qmd#sec-page7).)*
concrete,content/appendix/07-day-9.qmd,19,Day 9 page 12,9,12,content/days/day-09/04-major-activity.qmd,Y,,,*(Return to [Day 9 page 12](../days/day-09/04-major-activity.qmd#sec-page12).)*
concrete,content/appendix/08-day-10.qmd,27,Day 10 page 24,10,24,content/days/day-10/04-theory-of-variation.qmd,Y,,,"But the links are stronger still. In one of my seminars I often used a slide which simply shows the Joiner Triangle with two words inscribed in the middle: ""Reduce variation"". For that is intimatel..."
concrete,content/appendix/09-day-11.qmd,15,Day 1 page 39,1,39,content/days/day-01/11-deming-story.qmd,Y,,,"But, since the links with the Joiner Triangle are not quite so all-embracing here as in the first two parts of the System of Profound Knowledge, I'll now make some references to particular Points a..."
concrete,content/appendix/09-day-11.qmd,15,Day 5 page 14,5,14,content/days/day-05/02-points-7-to-14.qmd,Y,,,"But, since the links with the Joiner Triangle are not quite so all-embracing here as in the first two parts of the System of Profound Knowledge, I'll now make some references to particular Points a..."
concrete,content/appendix/10-optional-extras.qmd,19,Day 7 page 26,7,26,content/days/day-07/06-taguchi-reflections.qmd,Y,,,"A useful start is a sentence from [Day 7 page 26](../days/day-07/06-taguchi-reflections.qmd#sec-page26): [""If you are uncomfortable with the use of the concept of 'distribution' … , you can simply ..."
concrete,content/appendix/10-optional-extras.qmd,123,Day 4 page 16,4,16,content/days/day-04/04-points-1-to-6.qmd,Y,,,"[]{#sec-page50}So Deming's statement is guidance for us to focus instead on what would be *best*, and work steadily to get closer and closer to it. It's called ""continual improvement"". [""Create con..."
concrete,content/appendix/10-optional-extras.qmd,123,Day 5 page 18,5,18,content/days/day-05/03-the-deadly-diseases.qmd,Y,,,"[]{#sec-page50}So Deming's statement is guidance for us to focus instead on what would be *best*, and work steadily to get closer and closer to it. It's called ""continual improvement"". [""Create con..."
concrete,content/appendix/10-optional-extras.qmd,135,Day 3 page 1,3,1,content/days/day-03/01-variation-the-enemy-of-quality.qmd,Y,,,"Then recall the simple example on [Day 3 page 1](../days/day-03/01-variation-the-enemy-of-quality.qmd#sec-page1). I observed that changing the *average* of my process there would be very easy. And,..."
concrete,content/appendix/contributions-balaji-reddie/05-coda.qmd,13,Day 6 page 16,6,16,content/days/day-06/02-gallery-furniture.qmd,Y,,,"Dr Deming touched many lives both directly and indirectly. One amongst those, as you know from Day 6, was James McIngvale of Gallery Furniture. I finished my series of short newspaper articles (on ..."
concrete,content/appendix/contributions-balaji-reddie/06-lessons-from-history.qmd,146,Day 9 page 22,9,22,content/days/day-09/06-introductions-to-the-system.qmd,Y,,,"After writing so much on what can and does go wrong, let's return to the System of Profound Knowledge. In case you might find it helpful, I would like to give you my own brief summary, rather along..."
concrete,content/appendix/contributions-balaji-reddie/06-lessons-from-history.qmd,146,Day 12 page 9,12,9,content/days/day-12/03-wisdom-from-peter-scholtes.qmd,Y,,,"After writing so much on what can and does go wrong, let's return to the System of Profound Knowledge. In case you might find it helpful, I would like to give you my own brief summary, rather along..."
concrete,content/appendix/contributions-balaji-reddie/07-indias-missed-opportunity.qmd,11,Day 1 page 33,1,33,content/days/day-01/11-deming-story.qmd,Y,,,"In 1936, when he was in England studying the theory of statistics with Sir Ronald Fisher at London's University College, he befriended a very famous Indian statistician by the name of Prashanta Cha..."
concrete,content/appendix/optional-extras/00-introduction.qmd,92,Day 1 page 6,1,6,content/days/day-01/02-rediscovered.qmd,Y,,,But there were exceptions. On [Day 1 page 6](../../days/day-01/02-rediscovered.qmd#sec-page6) I said:
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,23,Day 3 page 47,3,47,content/days/day-03/11-the-first-two-rules-of-the-funnel.qmd,Y,,,"So, what are those ""various possibilities"" of what you might do next? The most challenging approach would be to throw you in at the deep end and simply suggest you construct control charts of your ..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,23,Day 3 page 16,3,16,content/days/day-03/05-how-do-we-compute-control-limits.qmd,Y,,,"So, what are those ""various possibilities"" of what you might do next? The most challenging approach would be to throw you in at the deep end and simply suggest you construct control charts of your ..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,23,Day 3 page 17,3,17,content/days/day-03/05-how-do-we-compute-control-limits.qmd,Y,,,"So, what are those ""various possibilities"" of what you might do next? The most challenging approach would be to throw you in at the deep end and simply suggest you construct control charts of your ..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,33,Day 3 page 47,3,47,content/days/day-03/11-the-first-two-rules-of-the-funnel.qmd,Y,,,"So now go ahead with Rules 1 and 2 using the data you generated on Day 3. Again, your Rule 1 (Ford's Second Strategy) data are on [Day 3 page 47](../../days/day-03/11-the-first-two-rules-of-the-fun..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,33,Day 3 page 44,3,44,content/days/day-03/11-the-first-two-rules-of-the-funnel.qmd,Y,,,"So now go ahead with Rules 1 and 2 using the data you generated on Day 3. Again, your Rule 1 (Ford's Second Strategy) data are on [Day 3 page 47](../../days/day-03/11-the-first-two-rules-of-the-fun..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,53,Day 3 page 19,3,19,content/days/day-03/06-six-processes.qmd,Y,,,"So, in both cases, compute the positions of the Central Line and control limits from the data over your chosen baseline and draw them in on your run chart. Now, it's not impossible that in either o..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,53,Day 3 page 19,3,19,content/days/day-03/06-six-processes.qmd,Y,,,"So, in both cases, compute the positions of the Central Line and control limits from the data over your chosen baseline and draw them in on your run chart. Now, it's not impossible that in either o..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,59,Day 3 page 18,3,18,content/days/day-03/05-how-do-we-compute-control-limits.qmd,Y,,,"I hope you will have found it helpful to gain that additional experience of constructing and interpreting control charts. However, to be fair, Funnel Experiment data are not the best kinds of data ..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,59,Day 3 page 19,3,19,content/days/day-03/06-six-processes.qmd,Y,,,"I hope you will have found it helpful to gain that additional experience of constructing and interpreting control charts. However, to be fair, Funnel Experiment data are not the best kinds of data ..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,71,Day 3 page 19,3,19,content/days/day-03/06-six-processes.qmd,Y,,,"![Two short Rule 1 control charts: both baselines show a stable process with Central Line around 30 and control limits spanning roughly 20 to 40, reminiscent of the stable processes shown on [Day 3..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,73,Day 3 page 19,3,19,content/days/day-03/06-six-processes.qmd,Y,,,"In the long versions of the control charts I've coloured in green the sections following the baseline, i.e. after the positions of the control limits have been calculated, drawn in and then extende..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,75,Day 3 page 19,3,19,content/days/day-03/06-six-processes.qmd,Y,,,"![Two long Rule 1 control charts, each continuing the baseline (red) with a green extension to 50 points; both remain comfortably inside the control limits throughout, closely resembling the stable..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,79,Day 3 page 5,3,5,content/days/day-03/01-variation-the-enemy-of-quality.qmd,Y,,,"Rule 2 is the case where, as we know both from the Ford example and from your own work in the Major Activity, the situation is undesirable compared with Rule 1, in particular suffering from approxi..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,81,Day 3 page 9,3,9,content/days/day-03/03-the-importance-of-time.qmd,Y,,,"> Mind you, the histogram indicates that quite a few were uncomfortably close to the edges of the specifications. In fact (as observed on [Day 3 page 9](../../days/day-03/03-the-importance-of-time...."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,87,Day 3 page 19,3,19,content/days/day-03/06-six-processes.qmd,Y,,,"Again let's look first at the short control charts of the two simulations. The second one does not appear to have anything much to tell us, but I suggest the first one does. There are two features ..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,87,Day 3 page 19,3,19,content/days/day-03/06-six-processes.qmd,Y,,,"Again let's look first at the short control charts of the two simulations. The second one does not appear to have anything much to tell us, but I suggest the first one does. There are two features ..."
concrete,content/appendix/optional-extras/01-part-a-funnel-charts.qmd,87,Day 3 page 24,3,24,content/days/day-03/08-control-chart-and-brain.qmd,Y,,,"Again let's look first at the short control charts of the two simulations. The second one does not appear to have anything much to tell us, but I suggest the first one does. There are two features ..."
